time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2023-10-29;2023-10-29;Lancet;;Kherson oblast;3.0;3;
2023-10-27;2023-10-27;Lancet;;Kherson oblast;2.0;2;
2023-10-18;2023-10-18;Lancet;;Kherson oblast;1.0;1;
2023-05-21;2023-05-21;ZALA;;Kherson oblast;1.0;1;
2023-05-21;2023-05-21;Orlan-10;;Kherson oblast;1.0;1;
2023-05-21;2023-05-21;Merlin-VR;;Kherson oblast;1.0;1;
2023-05-15;2023-05-15;Supercam;;Kherson oblast;1.0;1;
2023-05-15;2023-05-15;Orlan-10;;Kherson oblast;1.0;1;
2023-05-15;2023-05-15;Lancet;;Kherson oblast;2.0;2;
2023-05-14;2023-05-14;ZALA;;Kherson oblast;1.0;1;
2023-05-14;2023-05-14;Orlan-10;;Kherson oblast;2.0;2;
2023-05-08;2023-05-08;ZALA;;Kherson oblast;1.0;1;
2023-05-08;2023-05-08;Lancet;;Kherson oblast;2.0;2;
2023-04-26;2023-04-26;Merlin-VR;;Kherson oblast;1.0;1;
2023-04-26;2023-04-26;Lancet;;Kherson oblast;5.0;5;
2023-04-24;2023-04-24;Unknown UAV;;Kherson oblast;1.0;1;
2023-04-24;2023-04-24;Lancet;;Kherson oblast;2.0;2;
2023-03-27;2023-03-27;KAB;Morozovsk;Kherson oblast;2.0;0;
2023-02-09;2023-02-09;Orion;;Kherson oblast;1.0;1;
2022-12-20;2022-12-20;Orion;;Kherson oblast;1.0;1;
2022-10-25;2022-10-25;Shahed-136/131;;Kherson oblast;2.0;2;
2024-06-14;2024-06-14;X-101/X-555;Saratov oblast;Khmelnytskyi oblast;10.0;7;
2024-01-04;2024-01-04;Shahed-136/131;south-east;Khmelnytskyi oblast;2.0;2;
2023-12-19;2023-12-19;Shahed-136/131;Primorsko-Akhtarsk;Khmelnytskyi oblast;2.0;2;
2023-09-15;2023-09-15;Shahed-136/131;Primorsko-Akhtarsk;Khmelnytskyi oblast;17.0;17;
2023-07-26;2023-07-26;X-47 Kinzhal;;Khmelnytskyi oblast;4.0;0;
2023-06-23;2023-06-23;X-101/X-555;Caspian Sea;Khmelnytskyi oblast;13.0;13;
2023-06-20;2023-06-20;Shahed-136/131;north;Khmelnytskyi oblast;6.0;6;
2024-05-17;2024-05-17;Unknown UAV;;Kirovohrad oblast;1.0;1;
2024-01-27;2024-01-27;Shahed-136/131;Primorsko-Akhtarsk;Kirovohrad oblast;4.0;4;
2023-08-11;2023-08-11;X-47 Kinzhal;Tula oblast and Lipetsk oblast;Kolomyia;4.0;1;
2024-10-30;2024-10-31;Iskander-M/KN-23;Rostov oblast;Kramatorsk;2.0;0;
2024-10-28;2024-10-29;Iskander-M;Crimea;Kryvyi Rih;1.0;0;
2024-10-19;2024-10-20;Iskander-M;Crimea;Kryvyi Rih;2.0;0;
2024-09-04;2024-09-04;Iskander-K;Crimea;Kryvyi Rih;3.0;3;
2023-10-02;2023-10-02;Shahed-136/131;Primorsko-Akhtarsk;Kryvyi Rih;7.0;4;
2023-09-19;2023-09-19;Iskander-M;Crimea;Kryvyi Rih;1.0;0;
2023-08-28;2023-08-28;X-59;Kherson oblast;Kryvyi Rih;2.0;2;
2024-08-31;2024-08-31;Orion;;Kursk oblast;1.0;1;
2024-03-25;2024-03-25;3M22 Zircon;Crimea;Kyiv;2.0;2;
2023-12-13;2023-12-13;C-400 and Iskander-M;north;Kyiv;10.0;10;
2023-12-11;2023-12-11;KAB;north;Kyiv;8.0;8;
2023-11-11;2023-11-11;Iskander-M;;Kyiv;1.0;1;
2024-08-06;2024-08-06;Iskander-M/KN-23;Voronezh oblast;Kyiv oblast;4.0;2;
2024-07-31;2024-07-31;Shahed-136/131;Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast, Seshcha and Yeysk;Kyiv oblast;89.0;89;
2024-06-23;2024-06-23;Kalibr;Sea of Azov;Kyiv oblast;3.0;2;
2024-05-31;2024-05-31;Iskander-K;Kursk oblast;Kyiv oblast;1.0;1;
2024-03-21;2024-03-21;X-101/X-555;Volgodonsk and Engels-2;Kyiv oblast;29.0;29;
2024-03-21;2024-03-21;Iskander-M/KN-23 and X-47 Kinzhal;;Kyiv oblast;2.0;2;
2023-11-25;2023-11-25;Shahed-136/131;Primorsko-Akhtarsk and Kursk oblast;Kyiv oblast;75.0;74;
2023-09-10;2023-09-10;Shahed-136/131;Kursk oblast;Kyiv oblast;33.0;26;
2023-07-13;2023-07-13;Shahed-136/131;Primorsko-Akhtarsk and Kursk oblast;Kyiv oblast;20.0;20;
2023-06-16;2023-06-16;X-47 Kinzhal;;Kyiv oblast;6.0;6;
2023-06-16;2023-06-16;Kalibr;;Kyiv oblast;6.0;6;
2023-06-16;2023-06-16;Reconnaissance UAV;;Kyiv oblast;2.0;2;
2023-06-01;2023-06-01;Iskander-M;Bryansk oblast;Kyiv oblast;7.0;7;
2023-06-01;2023-06-01;Iskander-K;Bryansk oblast;Kyiv oblast;3.0;3;
2023-05-29;2023-05-29;Iskander-M and Iskander-K;north;Kyiv oblast;11.0;11;
2023-05-20;2023-05-20;Shahed-136/131;;Kyiv oblast;18.0;18;
2023-05-08;2023-05-08;Shahed-136/131;Bryansk oblast, Seshcha;Kyiv oblast;35.0;35;
2023-05-04;2023-05-04;X-47 Kinzhal;;Kyiv oblast;1.0;1;
2022-12-31;2022-12-31;Orlan-10;;Kyiv oblast;1.0;1;
2022-12-29;2022-12-29;Orlan-10;;Kyiv oblast;1.0;1;
2024-09-04;2024-09-04;X-47 Kinzhal;Tula oblast;Lviv oblast;2.0;0;
2024-04-11;2024-04-11;X-47 Kinzhal;Tambov oblast;Lviv oblast;6.0;0;
2023-07-06;2023-07-06;Kalibr;Black Sea;Lviv oblast;10.0;7;
2024-11-08;2024-11-08;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-10-15;2024-10-15;C-300/C-400;Crimea;Mykolaiv oblast;7.0;0;
2024-10-15;2024-10-15;Unknown Missile;Crimea;Mykolaiv oblast;1.0;0;
2024-10-09;2024-10-10;X-59/X-69;Crimea;Mykolaiv oblast;2.0;0;
2024-09-18;2024-09-18;X-59/X-69;Kherson oblast;Mykolaiv oblast;3.0;0;3.0
2024-09-02;2024-09-02;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-08-25;2024-08-25;Shahed-136/131;Chauda, Crimea;Mykolaiv oblast;9.0;8;
2024-08-22;2024-08-22;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
